GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,9,19,0,0,3,5,1,2,1,2
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,0,7,0,0,0,3,0,3,0,3
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,0,149,0,8,0,36,0,11,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,0,106,0,6,0,29,0,10,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,0,106,0,6,0,29,0,10,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,0,106,0,6,0,29,0,10,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,0,106,0,6,0,29,0,10,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,CustomErrorController,0,25,0,0,0,7,0,2,0,2
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,0,106,0,6,0,29,0,10,0,7
spring-boot-skeleton,com.nnk.springboot.services,CustomUserDetailsService,0,23,0,2,0,5,0,3,0,2
spring-boot-skeleton,com.nnk.springboot.services,RuleNameService,0,23,0,0,0,5,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,UserService,0,23,0,0,0,5,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,CurvePointService,0,23,0,0,0,5,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,BidListService,0,23,0,0,0,5,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,TradeService,0,23,0,0,0,5,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,RatingService,0,23,0,0,0,5,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.config,WebSecurityConfiguration,0,146,0,0,0,19,0,9,0,9
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,0,38,0,0,0,7,0,11,0,11
spring-boot-skeleton,com.nnk.springboot.domain,CustomUserDetails,20,10,0,0,6,4,6,2,6,2
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,0,52,0,0,0,9,0,15,0,15
spring-boot-skeleton,com.nnk.springboot.domain,BidList,126,31,0,0,18,6,36,9,36,9
spring-boot-skeleton,com.nnk.springboot.domain,Trade,119,31,0,0,17,6,34,9,34,9
spring-boot-skeleton,com.nnk.springboot.domain,User,0,38,0,0,0,7,0,11,0,11
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,18,27,0,0,2,6,5,8,5,8
